date,toplam vaka,toplam olum,yeni olum,onceki vaka,yeni vaka,yeni iyilesen,doublingRate
"Jun 11, 2020",174023,4763,17,147860,987,1021,125.2
"Jun 10, 2020",173036,4746,17,146839,922,2241,124.5
"Jun 9, 2020",172114,4729,18,144598,993,3218,124.9
"Jun 8, 2020",171121,4711,19,141380,989,3411,128.3
"Jun 7, 2020",170132,4692,23,137969,914,2647,130.9
"Jun 6, 2020",169218,4669,21,135322,878,1922,131.8
"Jun 5, 2020",168340,4648,18,133400,930,1622,128.9
"Jun 4, 2020",167410,4630,21,131778,988,926,123.9
"Jun 3, 2020",166422,4609,24,130852,867,931,119.4
"Jun 2, 2020",165555,4585,22,129921,786,974,115.8
"Jun 1, 2020",164769,4563,23,128947,827,974,112.5
"May 31, 2020",163942,4540,25,127973,839,989,109.4
"May 30, 2020",163103,4515,26,126984,983,1021,104.3
"May 29, 2020",162120,4489,28,125963,1141,1594,100.8
"May 28, 2020",160979,4461,30,124369,1182,1576,102.7
"May 27, 2020",159797,4431,34,122793,1035,1286,105.1
"May 26, 2020",158762,4397,28,121507,948,1492,105.3
"May 25, 2020",157814,4369,29,120015,987,1321,103.6
"May 24, 2020",156827,4340,32,118694,1141,1092,100.5
"May 23, 2020",155686,4308,32,117602,1186,1491,96.7
"May 22, 2020",154500,4276,27,116111,952,1121,90.8
"May 21, 2020",153548,4249,27,114990,961,1003,82.2
"May 20, 2020",152587,4222,23,113987,972,1092,75.7
"May 19, 2020",151615,4199,28,112895,1022,1318,70.1
"May 18, 2020",150593,4171,31,111577,1158,1615,65.1
"May 17, 2020",149435,4140,44,109962,1368,1825,64.8
"May 16, 2020",148067,4096,41,108137,1610,2004,63.1
"May 15, 2020",146457,4055,48,106133,1708,2103,62.8
"May 14, 2020",144749,4007,55,104030,1635,2315,61.2
"May 13, 2020",143114,3952,58,101715,1639,2826,58.6
"May 12, 2020",141475,3894,53,98889,1704,3109,54.8
"May 11, 2020",139771,3841,55,95780,1114,3089,53.5
"May 10, 2020",138657,3786,47,92691,1542,3211,50.9
"May 9, 2020",137115,3739,50,89480,1546,3084,49.8
"May 8, 2020",135569,3689,48,86396,1848,3412,47.5
"May 7, 2020",133721,3641,57,82984,1977,4782,45.5
"May 6, 2020",131744,3584,64,78202,2253,4917,42.7
"May 5, 2020",129491,3520,59,73285,1832,5119,39.9
"May 4, 2020",127659,3461,64,68166,1614,5015,37.7
"May 3, 2020",126045,3397,61,63151,1670,4892,35.9
"May 2, 2020",124375,3336,78,58259,1983,4451,33.9
"May 1, 2020",122392,3258,84,53808,2188,4922,31.5
"Apr 30, 2020",120204,3174,93,48886,2615,4846,29.2
"Apr 29, 2020",117589,3081,89,44040,2936,5231,27.7
"Apr 28, 2020",114653,2992,92,38809,2392,5018,26.7
"Apr 27, 2020",112261,2900,95,33791,2131,4651,23.1
"Apr 26, 2020",110130,2805,99,29140,2357,3558,19.9
"Apr 25, 2020",107773,2706,106,25582,2861,3845,18.0
"Apr 24, 2020",104912,2600,109,21737,3122,3246,16.8
"Apr 23, 2020",101790,2491,115,18491,3116,2014,15.3
"Apr 22, 2020",98674,2376,117,16477,3083,1559,13.8
"Apr 21, 2020",95591,2259,119,14918,4611,1488,12.6
"Apr 20, 2020",90980,2140,123,13430,4674,1454,12.2
"Apr 19, 2020",86306,2017,127,11976,3977,1523,11.7
"Apr 18, 2020",82329,1890,121,10453,3783,1822,10.6
"Apr 17, 2020",78546,1769,126,8631,4353,1542,9.5
"Apr 16, 2020",74193,1643,125,7089,4801,1415,8.6
"Apr 15, 2020",69392,1518,115,5674,4281,875,8.1
"Apr 14, 2020",65111,1403,107,4799,4062,842,7.5
"Apr 13, 2020",61049,1296,98,3957,4093,511,6.9
"Apr 12, 2020",56956,1198,97,3446,4789,481,6.5
"Apr 11, 2020",52167,1101,95,2965,5138,542,6.2
"Apr 10, 2020",47029,1006,98,2423,4747,281,6.0
"Apr 9, 2020",42282,908,96,2142,4056,296,5.7
"Apr 8, 2020",38226,812,87,1846,4117,264,5.4
"Apr 7, 2020",34109,725,76,1582,3892,256,5.2
"Apr 6, 2020",30217,649,75,1326,3148,284,4.7
"Apr 5, 2020",27069,574,73,1042,3135,256,4.5
"Apr 4, 2020",23934,501,76,786,3013,302,4.1
"Apr 3, 2020",20921,425,69,484,2786,69,3.7
"Apr 2, 2020",18135,356,79,415,2456,82,3.0
"Apr 1, 2020",15679,277,63,333,2148,90,2.6
"Mar 31, 2020",13531,214,46,243,2704,81,2.5
"Mar 30, 2020",10827,168,37,162,1610,57,2.5
"Mar 29, 2020",9217,131,23,105,1815,35,2.4
"Mar 28, 2020",7402,108,16,70,1704,28,2.0
"Mar 27, 2020",5698,92,17,42,2069,16,1.8
"Mar 26, 2020",3629,75,16,26,1196,0,1.7
"Mar 25, 2020",2433,59,15,26,561,26,1.5
"Mar 24, 2020",1872,44,7,0,343,0,1.3
"Mar 23, 2020",1529,37,7,0,293,0,1.1
"Mar 22, 2020",1236,30,21,0,566,0,0.9
"Mar 21, 2020",670,9,5,0,311,0,1.0
"Mar 20, 2020",359,4,1,0,167,0,1.1
"Mar 19, 2020",192,3,2,0,94,0,0.9
"Mar 18, 2020",98,1,0,0,51,0,1.1
"Mar 17, 2020",47,1,1,0,29,0,0
"Mar 16, 2020",18,0,0,0,12,0,0
"Mar 15, 2020",6,0,0,0,1,0,0
"Mar 14, 2020",5,0,0,0,0,0,0
"Mar 13, 2020",5,0,0,0,4,0,0
"Mar 12, 2020",1,0,0,0,0,0,0
"Mar 11, 2020",1,0,0,0,1,0,0
"Mar 10, 2020",0,0,0,0,0,0,0
"Mar 9, 2020",0,0,0,0,0,0,0
"Mar 8, 2020",0,0,0,0,0,0,0
"Mar 7, 2020",0,0,0,0,0,0,0
"Mar 6, 2020",0,0,0,0,0,0,0
"Mar 5, 2020",0,0,0,0,0,0,0
"Mar 4, 2020",0,0,0,0,0,0,0
"Mar 3, 2020",0,0,0,0,0,0,0
"Mar 2, 2020",0,0,0,0,0,0,0
"Mar 1, 2020",0,0,0,0,0,0,0
"Feb 29, 2020",0,0,0,0,0,0,0
"Feb 28, 2020",0,0,0,0,0,0,0
"Feb 27, 2020",0,0,0,0,0,0,0
"Feb 26, 2020",0,0,0,0,0,0,0
"Feb 25, 2020",0,0,0,0,0,0,0
"Feb 24, 2020",0,0,0,0,0,0,0
"Feb 23, 2020",0,0,0,0,0,0,0
"Feb 22, 2020",0,0,0,0,0,0,0
"Feb 21, 2020",0,0,0,0,0,0,0
"Feb 20, 2020",0,0,0,0,0,0,0
"Feb 19, 2020",0,0,0,0,0,0,0
"Feb 18, 2020",0,0,0,0,0,0,0
"Feb 17, 2020",0,0,0,0,0,0,0
"Feb 16, 2020",0,0,0,0,0,0,0
"Feb 15, 2020",0,0,0,0,0,0,0
"Feb 14, 2020",0,0,0,0,0,0,0
"Feb 13, 2020",0,0,0,0,0,0,0
"Feb 12, 2020",0,0,0,0,0,0,0
"Feb 11, 2020",0,0,0,0,0,0,0
"Feb 10, 2020",0,0,0,0,0,0,0
"Feb 9, 2020",0,0,0,0,0,0,0
"Feb 8, 2020",0,0,0,0,0,0,0
"Feb 7, 2020",0,0,0,0,0,0,0
"Feb 6, 2020",0,0,0,0,0,0,0
"Feb 5, 2020",0,0,0,0,0,0,0
"Feb 4, 2020",0,0,0,0,0,0,0
"Feb 3, 2020",0,0,0,0,0,0,0
"Feb 2, 2020",0,0,0,0,0,0,0
"Feb 1, 2020",0,0,0,0,0,0,0
"Jan 31, 2020",0,0,0,0,0,0,0
"Jan 30, 2020",0,0,0,0,0,0,0
"Jan 29, 2020",0,0,0,0,0,0,0
"Jan 28, 2020",0,0,0,0,0,0,0
"Jan 27, 2020",0,0,0,0,0,0,0
"Jan 26, 2020",0,0,0,0,0,0,0
"Jan 25, 2020",0,0,0,0,0,0,0
"Jan 24, 2020",0,0,0,0,0,0,0
"Jan 23, 2020",0,0,0,0,0,0,0
"Jan 22, 2020",0,0,0,0,0,0,0
